condition,layer,token_position,n_prompts,n_rows,mean_projection,std_projection,min_projection,max_projection,token_window
harmful_k03,20,26,24,24,-0.4075978597005208,1.3001187392093647,-2.34375,1.953125,generated_token
harmful_k03,20,27,24,24,-0.4061686197916667,1.4745428985482365,-2.71875,2.765625,generated_token
harmful_k03,20,28,24,24,-0.4792683919270833,1.614348867271082,-3.15625,2.703125,generated_token
harmful_k03,20,29,23,23,-0.6262724503226902,1.129652113490774,-3.1875,1.890625,generated_token
harmful_k03,20,30,23,23,-0.7638629415760869,1.1991664319440862,-2.578125,1.9765625,generated_token
harmful_k03,20,31,23,23,-1.2144801927649456,1.3536850664791633,-3.125,1.828125,generated_token
harmful_k03,20,32,23,23,-0.6948029891304348,1.6812189744434942,-2.9375,3.328125,generated_token
harmful_k03,20,33,23,23,-0.7087083899456522,1.6857602407109273,-3.15625,3.125,generated_token
harmful_k03,20,34,23,23,-0.7122855808423914,1.5161995230000294,-2.71875,2.015625,generated_token
harmful_k03,20,35,23,23,-0.8487018087635869,1.3727758014099702,-2.8125,1.8984375,generated_token
harmful_k03,20,36,23,23,-0.9296238111413043,1.3788003524080783,-2.921875,2.59375,generated_token
harmful_k03,20,37,23,23,-0.4714766792629076,1.2575642163141048,-3.015625,2.609375,generated_token
harmful_k03,20,38,23,23,-0.4048913043478261,1.6450138126648879,-3.234375,3.484375,generated_token
harmful_k03,20,39,23,23,-1.0793403957201086,1.3328474918151183,-3.84375,2.71875,generated_token
harmful_k03,20,40,23,23,-1.275093410326087,1.3370453895618721,-3.078125,2.375,generated_token
harmful_k03,20,41,23,23,-1.2490712041440217,1.0951605449985657,-3.421875,0.294921875,generated_token
harmful_k03,20,42,23,23,-1.1015200407608696,1.4572715768447437,-3.25,2.859375,generated_token
harmful_k03,20,43,23,23,-1.0153702445652173,1.5507683417833857,-3.3125,3.5625,generated_token
harmful_k03,20,44,23,23,-1.0925133746603262,1.6437507529774338,-2.890625,3.359375,generated_token
harmful_k03,20,45,23,23,-1.136527683423913,1.3036400021128531,-3.1875,2.484375,generated_token
harmful_k03,20,46,23,23,-0.8877802309782609,1.5796046125399472,-3.328125,2.46875,generated_token
harmful_k03,24,0,25,25,-0.393369140625,1.7039964372477499,-3.609375,2.453125,generated_token
harmful_k03,24,1,25,25,-2.596796875,1.8232211845726094,-5.75,1.8828125,generated_token
